name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fannkuchredux,java,1,11,1282,4.849,34800,0,95% 95% 95% 90%,1.311
fannkuchredux,java,3,11,1257,4.579,34708,0,98% 3% 1% 1%,4.477
fannkuchredux,php,1,11,482,90.184,8068,0,0% 0% 73% 28%,90.209
fannkuchredux,php,3,11,1160,58.256,21852,0,99% 99% 98% 100%,14.765
fannkuchredux,java,2,11,514,5.892,35132,0,1% 1% 59% 43%,5.814
fannkuchredux,python,4,11,950,151.028,48204,0,98% 96% 100% 98%,38.611
fannkuchredux,php,2,11,441,54.694,8012,0,0% 0% 83% 18%,54.710
fannkuchredux,python,6,11,385,146.360,8360,0,80% 20% 1% 1%,146.404
nbody,java,4,50000,1489,0.156,0,0,33% 0% 67% 42%,0.120
nbody,python,1,50000,1118,0.000,0,-2,0% 100% 0% 0%,0.027
nbody,java,2,50000,1424,0.166,0,0,18% 17% 75% 36%,0.120
nbody,java,5,50000,1429,0.158,0,0,27% 0% 73% 33%,0.118
nbody,java,3,50000,1430,0.162,0,0,8% 25% 64% 42%,0.123
nbody,python,2,50000,1242,0.881,8684,0,2% 100% 3% 1%,0.883
nbody,php,3,50000,1082,0.320,624,0,0% 6% 100% 0%,0.322
nbody,java,1,50000,1430,0.198,0,0,67% 40% 29% 0%,0.140
regexdna,python,1,10000,369,0.000,0,-2,33% 67% 0% 0%,0.026
spectralnorm,php,1,3000,1152,37.239,21644,0,99% 99% 99% 99%,9.437
spectralnorm,php,3,3000,1210,66.584,23344,0,99% 98% 99% 98%,16.925
spectralnorm,java,1,3000,514,5.128,37196,0,100% 3% 1% 1%,5.031
spectralnorm,python,6,3000,328,193.288,8944,0,1% 1% 100% 0%,193.343
spectralnorm,php,2,3000,397,66.947,8412,0,1% 0% 9% 92%,66.966
spectralnorm,python,7,3000,417,201.463,49624,0,99% 99% 99% 99%,50.859
spectralnorm,java,2,3000,950,5.282,36884,0,94% 95% 90% 92%,1.430
spectralnorm,java,3,3000,756,5.266,37616,0,89% 90% 90% 92%,1.461
