name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fannkuchredux,java,1,9,1282,0.450,0,0,56% 67% 65% 65%,0.180
fannkuchredux,java,1,10,1282,0.827,920,0,75% 77% 76% 83%,0.279
fannkuchredux,java,1,11,1282,4.849,34800,0,95% 95% 95% 90%,1.311
fannkuchredux,java,3,9,1257,0.251,0,0,45% 9% 58% 45%,0.226
fannkuchredux,java,3,10,1257,0.555,34576,0,89% 22% 11% 2%,0.463
fannkuchredux,java,3,11,1257,4.579,34708,0,98% 3% 1% 1%,4.477
fannkuchredux,php,1,9,482,0.594,8008,0,0% 100% 0% 5%,0.596
fannkuchredux,php,1,10,482,7.272,7904,0,1% 100% 0% 1%,7.276
fannkuchredux,php,1,11,482,90.184,8068,0,0% 0% 73% 28%,90.209
fannkuchredux,php,3,9,1160,0.418,0,0,65% 80% 56% 58%,0.181
fannkuchredux,php,3,10,1160,4.532,21888,0,97% 98% 98% 100%,1.160
fannkuchredux,php,3,11,1160,58.256,21852,0,99% 99% 98% 100%,14.765
fannkuchredux,java,2,9,514,0.242,0,0,81% 31% 20% 6%,0.167
fannkuchredux,java,2,10,514,0.749,34772,0,9% 6% 11% 91%,0.682
fannkuchredux,java,2,11,514,5.892,35132,0,1% 1% 59% 43%,5.814
fannkuchredux,python,4,9,950,1.285,12272,0,25% 97% 25% 27%,1.262
fannkuchredux,python,4,10,950,12.869,48840,0,97% 97% 98% 98%,3.318
fannkuchredux,python,4,11,950,151.028,48204,0,98% 96% 100% 98%,38.611
fannkuchredux,php,2,9,441,0.356,680,0,0% 11% 100% 0%,0.358
fannkuchredux,php,2,10,441,4.242,7912,0,100% 0% 0% 1%,4.245
fannkuchredux,php,2,11,441,54.694,8012,0,0% 0% 83% 18%,54.710
fannkuchredux,python,6,9,385,1.055,8112,0,0% 100% 2% 0%,1.058
fannkuchredux,python,6,10,385,11.747,7612,0,1% 1% 1% 100%,11.752
fannkuchredux,python,6,11,385,146.360,8360,0,80% 20% 1% 1%,146.404
nbody,java,4,10000,1489,0.140,0,0,30% 10% 11% 82%,0.101
nbody,java,4,20000,1489,0.144,0,0,18% 25% 50% 64%,0.110
nbody,java,4,30000,1489,0.157,0,0,36% 9% 64% 42%,0.115
nbody,java,4,40000,1489,0.158,0,0,17% 27% 58% 42%,0.120
nbody,java,4,50000,1489,0.156,0,0,33% 0% 67% 42%,0.120
nbody,python,1,10000,1118,0.000,0,-2,0% 100% 0% 0%,0.027
nbody,python,1,20000,1118,0.000,0,-2,0% 100% 0% 0%,0.027
nbody,python,1,30000,1118,0.000,0,-2,0% 100% 0% 0%,0.027
nbody,python,1,40000,1118,0.000,0,-2,0% 100% 0% 0%,0.027
