name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s)
binarytrees,node,4,7,1008,0.355,24020,0,10% 48% 43% 11%,1.781,1.985
binarytrees,node,4,14,1008,0.605,836,0,36% 89% 42% 36%,0.374,0.760
binarytrees,node,4,21,1008,100.101,574408,0,80% 78% 81% 78%,31.800,100.717
binarytrees,node,4,21,1008,99.881,532368,0,78% 80% 80% 83%,31.297,100.489
binarytrees,node,4,21,1008,101.036,574272,0,82% 77% 82% 76%,32.104,101.622
binarytrees,node,4,21,1008,99.956,542972,0,80% 82% 78% 78%,31.707,100.788
binarytrees,node,4,21,1008,99.729,553412,0,79% 78% 77% 80%,31.942,100.243
binarytrees,node,4,21,1008,99.973,544920,0,79% 81% 78% 78%,31.771,100.540
binarytrees,swift,1,7,714,0.032,4748,0,7% 1% 4% 34%,1.093,0.498
binarytrees,swift,1,14,714,0.644,932,0,87% 52% 84% 52%,0.238,0.655
binarytrees,swift,1,21,714,132.673,733500,0,68% 72% 86% 70%,45.055,133.376
binarytrees,mri,1,7,376,0.021,8,0,47% 7% 17% 30%,0.580,0.583
binarytrees,mri,1,14,376,3.860,19108,0,1% 2% 4% 100%,3.865,4.146
binarytrees,mri,1,21,376,1834.155,1558448,0,77% 1% 1% 24%,1836.229,1858.107
binarytrees,jruby,4,7,364,11.659,175424,0,41% 28% 35% 40%,11.650,16.860
binarytrees,jruby,4,14,364,13.205,209084,0,88% 51% 62% 75%,4.803,13.293
binarytrees,jruby,4,21,364,125.468,1775268,0,28% 16% 46% 36%,101.090,127.239
binarytrees,mri,4,7,364,0.018,8,0,69% 2% 0% 23%,0.443,0.417
binarytrees,mri,4,14,364,3.357,19060,0,0% 5% 5% 100%,3.362,3.701
binarytrees,mri,4,21,364,1728.771,1558556,0,100% 0% 1% 0%,1730.741,1747.694
binarytrees,dartexe,3,7,1206,0.025,0,0,4% 54% 41% 54%,0.266,0.403
binarytrees,dartexe,3,14,1206,0.334,0,0,75% 73% 81% 88%,0.157,0.497
binarytrees,dartexe,3,21,1206,90.858,1547000,0,44% 62% 48% 43%,46.741,91.746
binarytrees,dartexe,3,21,1206,91.505,1567732,0,45% 45% 45% 62%,46.829,92.563
binarytrees,dartexe,3,21,1206,91.188,1547396,0,49% 48% 46% 54%,46.799,92.367
binarytrees,dartexe,3,21,1206,91.477,1593240,0,49% 44% 58% 45%,46.936,92.007
binarytrees,dartexe,3,21,1206,91.401,1600488,0,47% 59% 45% 46%,46.798,92.147
binarytrees,dartexe,3,21,1206,91.462,1574420,0,49% 43% 45% 58%,46.911,92.019
binarytrees,typescript,2,7,456,0.143,28448,0,48% 8% 4% 17%,2.110,1.636
binarytrees,typescript,2,14,456,0.268,860,0,9% 21% 87% 17%,0.243,0.323
binarytrees,typescript,2,21,456,91.295,683732,0,63% 43% 34% 37%,52.195,92.107
binarytrees,typescript,2,21,456,92.299,644516,0,41% 55% 48% 36%,51.892,93.083
binarytrees,typescript,2,21,456,93.752,654368,0,55% 43% 46% 40%,51.288,94.435
binarytrees,typescript,2,21,456,92.938,645280,0,37% 38% 42% 65%,51.452,93.765
binarytrees,typescript,2,21,456,90.472,693908,0,36% 39% 64% 38%,52.026,91.202
binarytrees,typescript,2,21,456,92.393,641640,0,64% 38% 39% 37%,52.217,93.159
binarytrees,yarv,5,7,1096,1.111,22260,0,29% 22% 70% 45%,4.520,7.517
binarytrees,yarv,5,14,1096,4.136,28948,0,40% 97% 32% 48%,2.525,5.466
binarytrees,yarv,5,21,1096,123.737,531600,0,67% 72% 60% 81%,44.610,125.162
binarytrees,php,1,7,451,0.019,2124,0,44% 0% 3% 34%,0.738,0.596
binarytrees,php,1,14,451,0.734,14016,0,11% 3% 0% 100%,0.745,0.845
binarytrees,php,1,21,451,168.392,738472,0,16% 0% 0% 85%,168.543,172.020
binarytrees,node,5,7,994,0.325,23016,0,4% 54% 55% 5%,1.849,2.184
binarytrees,node,5,14,994,0.607,868,0,51% 88% 36% 40%,0.382,0.822
binarytrees,node,5,21,994,96.166,883388,0,79% 86% 79% 84%,29.614,96.745
binarytrees,node,5,21,994,96.278,894544,0,81% 83% 81% 84%,29.568,96.901
binarytrees,node,5,21,994,95.699,891592,0,80% 84% 78% 80%,29.911,96.224
binarytrees,node,5,21,994,96.272,881772,0,80% 81% 85% 77%,29.987,96.820
binarytrees,node,5,21,994,96.472,871896,0,78% 85% 79% 80%,30.164,97.000
binarytrees,node,5,21,994,97.798,894492,0,79% 84% 81% 81%,30.180,98.326
binarytrees,hipe,2,7,478,0.292,20488,0,60% 42% 50% 57%,4.256,8.903
binarytrees,hipe,2,14,478,0.334,0,0,45% 50% 76% 32%,0.186,0.379
binarytrees,hipe,2,21,478,24.560,439528,0,87% 72% 72% 71%,8.182,24.755
binarytrees,hipe,2,21,478,24.398,438600,0,75% 70% 67% 83%,8.420,24.831
binarytrees,hipe,2,21,478,24.114,464444,0,69% 75% 78% 75%,8.274,24.580
binarytrees,hipe,2,21,478,24.437,438952,0,78% 79% 72% 68%,8.314,24.643
binarytrees,hipe,2,21,478,24.255,460744,0,64% 73% 82% 72%,8.380,24.364
binarytrees,hipe,2,21,478,24.562,438232,0,76% 63% 78% 71%,8.567,24.717
binarytrees,racketcs,3,7,473,0.419,61932,0,1% 52% 66% 0%,2.373,2.832
binarytrees,racketcs,3,14,473,0.415,1260,0,5% 100% 0% 0%,0.419,0.439
binarytrees,racketcs,3,21,473,13.753,392920,0,1% 0% 0% 100%,13.778,14.059
binarytrees,racketcs,3,21,473,13.732,388332,0,1% 0% 0% 100%,13.757,13.927
binarytrees,racketcs,3,21,473,13.750,390564,0,100% 2% 2% 0%,13.773,14.214
binarytrees,racketcs,3,21,473,13.779,379464,0,0% 1% 0% 100%,13.804,13.894
binarytrees,racketcs,3,21,473,13.736,380612,0,100% 1% 0% 0%,13.761,13.892
binarytrees,racketcs,3,21,473,13.560,409884,0,0% 1% 0% 100%,13.584,13.714
binarytrees,mri,2,7,378,0.019,8,0,0% 78% 19% 6%,0.475,0.489
binarytrees,mri,2,14,378,3.875,19208,0,0% 100% 5% 0%,3.879,4.059
binarytrees,mri,2,21,378,1828.174,1558496,0,11% 1% 1% 88%,1830.376,1848.209
binarytrees,gpp,3,7,945,0.004,0,0,69% 89% 0% 0%,0.283,0.449
binarytrees,gpp,3,14,945,0.065,0,0,75% 50% 67% 67%,0.031,0.081
binarytrees,gpp,3,21,945,16.549,221620,0,79% 84% 41% 90%,5.700,16.739
binarytrees,gpp,3,21,945,15.680,221916,0,65% 60% 98% 57%,5.680,15.909
binarytrees,gpp,3,21,945,16.413,221648,0,82% 78% 79% 53%,5.715,16.650
binarytrees,gpp,3,21,945,16.522,221956,0,78% 84% 90% 41%,5.705,16.767
binarytrees,gpp,3,21,945,16.468,221492,0,82% 79% 44% 90%,5.743,16.925
binarytrees,gpp,3,21,945,15.407,221488,0,69% 90% 48% 62%,5.791,15.631
binarytrees,clangpp,2,7,508,0.005,8,0,68% 3% 3% 57%,0.298,0.392
binarytrees,clangpp,2,14,508,0.196,0,0,0% 0% 5% 100%,0.198,0.207
binarytrees,clangpp,2,21,508,44.989,265096,0,1% 42% 58% 0%,45.028,45.719
binarytrees,clangpp,2,21,508,46.384,265200,0,24% 0% 0% 77%,46.419,47.034
binarytrees,clangpp,2,21,508,45.345,265184,0,1% 1% 1% 100%,45.381,46.732
binarytrees,clangpp,2,21,508,45.222,265108,0,100% 2% 1% 1%,45.261,46.814
binarytrees,clangpp,2,21,508,44.993,265076,0,91% 0% 1% 9%,45.029,45.905
binarytrees,clangpp,2,21,508,45.096,265068,0,0% 1% 0% 100%,45.130,45.451
binarytrees,go,4,7,654,0.006,0,0,0% 76% 63% 0%,0.242,0.335
binarytrees,go,4,14,654,0.432,0,0,80% 69% 81% 79%,0.144,0.444
binarytrees,go,4,21,654,105.225,444012,0,95% 95% 95% 97%,27.573,105.535
binarytrees,go,4,21,654,105.384,456328,0,97% 94% 95% 96%,27.682,105.690
binarytrees,go,4,21,654,106.348,498500,0,95% 97% 96% 96%,27.828,106.659
binarytrees,go,4,21,654,105.583,471400,0,95% 95% 96% 96%,27.670,105.837
binarytrees,go,4,21,654,105.880,471068,0,96% 95% 95% 97%,27.780,106.299
binarytrees,go,4,21,654,105.276,455052,0,95% 98% 95% 95%,27.562,105.575
binarytrees,python3,2,7,338,0.038,6664,0,40% 4% 2% 58%,1.204,1.258
binarytrees,python3,2,14,338,1.153,9172,0,6% 0% 2% 100%,1.155,1.245
binarytrees,python3,2,21,338,254.507,274564,0,80% 0% 0% 20%,254.660,258.711
binarytrees,rust,3,7,754,0.005,0,0,77% 0% 0% 23%,0.120,0.120
binarytrees,rust,3,14,754,0.068,0,0,50% 100% 50% 100%,0.025,0.076
binarytrees,rust,3,21,754,13.861,147892,0,88% 100% 89% 88%,3.817,13.937
binarytrees,rust,3,21,754,13.919,166672,0,100% 88% 88% 89%,3.834,13.996
binarytrees,rust,3,21,754,13.936,133084,0,88% 88% 89% 100%,3.837,13.990
binarytrees,rust,3,21,754,14.322,183616,0,89% 90% 89% 97%,3.941,14.392
binarytrees,rust,3,21,754,13.983,153340,0,88% 88% 89% 100%,3.848,14.056
binarytrees,rust,3,21,754,14.034,164180,0,90% 90% 90% 100%,3.828,14.133
binarytrees,vw,3,7,930,0.847,50724,0,22% 0% 3% 78%,1.446,1.484
binarytrees,vw,3,14,930,0.926,51948,0,1% 9% 100% 2%,0.923,1.034
binarytrees,vw,3,21,930,82.545,375956,0,78% 76% 33% 60%,34.079,84.272
binarytrees,vw,3,21,930,81.560,376016,0,90% 65% 46% 43%,33.592,82.112
binarytrees,vw,3,21,930,82.224,375704,0,90% 51% 35% 64%,34.725,83.268
binarytrees,vw,3,21,930,82.129,375980,0,77% 82% 56% 30%,33.960,82.646
binarytrees,vw,3,21,930,81.414,375864,0,61% 89% 34% 68%,32.466,81.917
binarytrees,vw,3,21,930,80.640,375980,0,62% 84% 61% 33%,33.891,81.179
binarytrees,yarv,2,7,378,0.564,22456,0,55% 3% 34% 39%,3.717,4.887
binarytrees,yarv,2,14,378,2.862,28072,0,92% 88% 4% 23%,2.237,4.639
binarytrees,yarv,2,21,378,149.458,577904,0,68% 2% 1% 33%,148.530,153.431
binarytrees,openj9,3,7,540,0.343,37484,0,38% 27% 18% 33%,3.582,4.155
binarytrees,openj9,3,14,540,0.473,992,0,44% 61% 11% 54%,0.375,0.635
binarytrees,openj9,3,21,540,47.118,423824,0,71% 63% 12% 38%,26.344,48.520
binarytrees,openj9,3,21,540,47.461,422108,0,40% 20% 55% 70%,26.599,48.868
binarytrees,openj9,3,21,540,50.454,422940,0,69% 35% 40% 37%,28.486,51.207
binarytrees,openj9,3,21,540,50.755,432188,0,51% 15% 63% 56%,27.881,51.455
binarytrees,openj9,3,21,540,50.521,421420,0,61% 73% 37% 13%,27.903,51.109
binarytrees,openj9,3,21,540,49.976,413892,0,47% 68% 13% 50%,28.332,50.620
binarytrees,python3,3,7,1238,0.145,11372,0,30% 5% 5% 56%,1.737,1.669
binarytrees,python3,3,14,1238,1.744,67236,0,81% 42% 37% 97%,0.711,1.834
binarytrees,python3,3,21,1238,326.980,677608,0,72% 61% 93% 64%,113.338,328.505
binarytrees,gnat,4,7,2107,0.010,328,0,16% 33% 80% 5%,0.561,0.759
binarytrees,gnat,4,14,2107,0.168,0,0,44% 50% 50% 78%,0.085,0.189
binarytrees,gnat,4,21,2107,32.268,202304,0,82% 95% 80% 86%,9.487,32.490
binarytrees,gnat,4,21,2107,32.471,202428,0,93% 87% 84% 83%,9.422,32.673
binarytrees,gnat,4,21,2107,32.445,202412,0,81% 97% 80% 83%,9.573,32.653
binarytrees,gnat,4,21,2107,32.506,202244,0,84% 84% 83% 95%,9.591,33.137
binarytrees,gnat,4,21,2107,32.198,202428,0,88% 88% 89% 94%,9.226,33.081
binarytrees,gnat,4,21,2107,32.280,202300,0,83% 88% 89% 93%,9.204,32.492
binarytrees,dartsnapshot,1,7,457,0.195,24028,0,20% 60% 33% 10%,1.206,1.479
binarytrees,dartsnapshot,1,14,457,0.377,812,0,36% 32% 17% 50%,0.290,0.391
binarytrees,dartsnapshot,1,21,457,28.687,748020,0,5% 61% 40% 12%,25.226,29.709
binarytrees,dartsnapshot,1,21,457,28.916,739868,0,13% 6% 10% 88%,25.280,29.379
binarytrees,dartsnapshot,1,21,457,28.749,747900,0,84% 6% 14% 13%,25.234,29.324
binarytrees,dartsnapshot,1,21,457,29.269,729488,0,70% 8% 12% 27%,25.498,29.637
binarytrees,dartsnapshot,1,21,457,28.402,719332,0,26% 9% 7% 73%,25.137,28.868
binarytrees,dartsnapshot,1,21,457,30.672,746964,0,19% 8% 10% 81%,26.210,30.910
binarytrees,typescript,1,7,460,0.124,25276,0,51% 2% 6% 25%,2.133,1.800
binarytrees,typescript,1,14,460,0.275,836,0,8% 25% 4% 100%,0.269,0.367
binarytrees,typescript,1,21,460,90.536,678080,0,42% 41% 41% 50%,52.692,91.912
binarytrees,typescript,1,21,460,91.016,621512,0,39% 37% 63% 40%,51.319,92.327
binarytrees,typescript,1,21,460,91.422,624548,0,55% 46% 35% 39%,52.824,92.381
binarytrees,typescript,1,21,460,93.268,714352,0,45% 39% 39% 59%,51.866,94.266
binarytrees,typescript,1,21,460,92.545,619132,0,44% 54% 42% 39%,52.096,93.566
binarytrees,typescript,1,21,460,92.676,708632,0,44% 39% 46% 56%,52.294,96.862
binarytrees,openj9,2,7,552,0.345,44680,0,54% 4% 30% 24%,3.521,3.941
binarytrees,openj9,2,14,552,0.454,992,0,34% 44% 69% 7%,0.340,0.523
binarytrees,openj9,2,21,552,33.625,398464,0,28% 52% 60% 43%,18.495,34.030
binarytrees,openj9,2,21,552,33.447,400116,0,48% 56% 19% 62%,18.445,33.988
binarytrees,openj9,2,21,552,39.218,426300,0,24% 61% 45% 52%,21.904,39.673
binarytrees,openj9,2,21,552,33.891,406244,0,62% 15% 56% 51%,18.581,34.179
binarytrees,openj9,2,21,552,33.439,443068,0,54% 55% 58% 14%,18.578,33.748
binarytrees,openj9,2,21,552,33.294,441956,0,15% 78% 32% 56%,18.493,33.730
binarytrees,csharpcore,6,7,753,0.156,28124,0,18% 6% 16% 59%,1.433,1.404
binarytrees,csharpcore,6,14,753,0.281,0,0,65% 30% 18% 79%,0.193,0.370
binarytrees,csharpcore,6,21,753,20.154,835880,0,91% 85% 86% 91%,5.763,20.298
binarytrees,csharpcore,6,21,753,20.090,786124,0,92% 87% 84% 91%,5.738,20.312
binarytrees,csharpcore,6,21,753,20.143,800296,0,85% 91% 88% 83%,5.861,20.330
binarytrees,csharpcore,6,21,753,20.336,830864,0,89% 87% 86% 88%,5.873,20.512
binarytrees,csharpcore,6,21,753,20.177,839128,0,89% 88% 90% 87%,5.781,20.505
binarytrees,csharpcore,6,21,753,20.126,842220,0,84% 89% 84% 94%,5.803,20.303
binarytrees,dartsnapshot,2,7,1410,0.182,16024,0,63% 9% 8% 34%,1.439,1.639
binarytrees,dartsnapshot,2,14,1410,0.391,0,0,75% 41% 69% 56%,0.168,0.403
binarytrees,dartsnapshot,2,21,1410,42.274,980340,0,87% 51% 53% 69%,16.428,42.857
binarytrees,dartsnapshot,2,21,1410,42.307,978364,0,96% 59% 54% 54%,16.209,42.536
binarytrees,dartsnapshot,2,21,1410,42.165,977212,0,74% 64% 57% 70%,16.035,42.401
binarytrees,dartsnapshot,2,21,1410,42.243,949704,0,64% 81% 67% 56%,15.885,42.536
binarytrees,dartsnapshot,2,21,1410,42.245,969188,0,67% 77% 71% 49%,16.077,42.482
binarytrees,dartsnapshot,2,21,1410,42.146,976600,0,67% 59% 52% 84%,16.225,42.384
binarytrees,jruby,3,7,400,12.395,176760,0,57% 23% 28% 41%,12.558,18.781
binarytrees,jruby,3,14,400,12.761,190408,0,61% 60% 66% 82%,4.804,12.926
binarytrees,jruby,3,21,400,116.501,1476684,0,28% 38% 44% 10%,99.794,119.360
binarytrees,jruby,3,21,400,119.366,1732820,0,8% 32% 72% 7%,100.619,121.165
binarytrees,jruby,3,21,400,122.588,1822064,0,22% 13% 10% 73%,104.511,124.078
binarytrees,jruby,3,21,400,120.307,1488448,0,40% 15% 44% 21%,102.191,121.705
binarytrees,jruby,3,21,400,119.755,1584508,0,37% 7% 8% 67%,101.619,121.116
binarytrees,jruby,3,21,400,117.535,1295208,0,24% 61% 12% 20%,101.632,119.169
binarytrees,dartaot,2,7,1410,0.031,0,0,97% 0% 0% 8%,0.399,0.419
binarytrees,dartaot,2,14,1410,0.195,0,0,43% 70% 50% 70%,0.090,0.209
binarytrees,dartaot,2,21,1410,44.104,758940,0,58% 60% 65% 48%,19.870,45.837
binarytrees,dartaot,2,21,1410,44.656,777692,0,52% 67% 58% 51%,19.816,44.953
binarytrees,dartaot,2,21,1410,44.751,791124,0,68% 55% 45% 58%,19.855,45.094
binarytrees,dartaot,2,21,1410,42.827,788476,0,63% 47% 58% 60%,18.875,43.168
binarytrees,dartaot,2,21,1410,44.893,791916,0,56% 67% 55% 47%,19.930,45.071
binarytrees,dartaot,2,21,1410,44.170,760516,0,47% 53% 55% 71%,19.660,44.520
binarytrees,fsharpcore,2,7,482,0.265,33008,0,61% 0% 2% 13%,2.674,2.055
binarytrees,fsharpcore,2,14,482,0.529,36248,0,65% 26% 5% 8%,0.555,0.582
binarytrees,fsharpcore,2,21,482,45.797,1351004,0,28% 32% 35% 21%,40.522,46.936
binarytrees,fsharpcore,2,21,482,46.040,1309300,0,29% 38% 33% 22%,40.554,49.306
binarytrees,fsharpcore,2,21,482,46.561,1394576,0,35% 36% 30% 19%,40.590,48.759
binarytrees,fsharpcore,2,21,482,46.112,1223964,0,34% 34% 32% 16%,40.262,46.457
binarytrees,fsharpcore,2,21,482,46.139,1301560,0,29% 36% 32% 20%,40.325,46.856
binarytrees,fsharpcore,2,21,482,46.183,1338660,0,11% 46% 49% 11%,40.443,47.364
binarytrees,fpascal,7,7,1003,0.008,0,0,0% 40% 55% 5%,0.209,0.209
binarytrees,fpascal,7,14,1003,0.068,0,0,50% 100% 50% 40%,0.038,0.091
binarytrees,fpascal,7,21,1003,10.875,132624,0,100% 84% 52% 71%,3.710,11.372
binarytrees,fpascal,7,21,1003,10.935,103128,0,91% 83% 24% 100%,3.716,11.058
binarytrees,fpascal,7,21,1003,10.971,103316,0,47% 60% 42% 100%,4.543,11.332
binarytrees,fpascal,7,21,1003,10.260,103120,0,100% 89% 70% 80%,3.059,10.335
binarytrees,fpascal,7,21,1003,10.245,132852,0,47% 100% 53% 23%,4.683,10.418
binarytrees,fpascal,7,21,1003,10.873,103280,0,43% 98% 53% 47%,4.596,11.062
binarytrees,csharpcore,5,7,767,0.147,16992,0,30% 66% 14% 5%,1.249,1.436
binarytrees,csharpcore,5,14,767,0.272,0,0,41% 22% 37% 74%,0.191,0.332
binarytrees,csharpcore,5,21,767,20.823,766560,0,85% 84% 87% 88%,6.114,21.044
binarytrees,csharpcore,5,21,767,21.237,914776,0,89% 86% 82% 86%,6.262,21.478
binarytrees,csharpcore,5,21,767,21.254,1030984,0,92% 88% 89% 86%,6.053,21.452
binarytrees,csharpcore,5,21,767,22.142,765824,0,84% 81% 89% 92%,6.513,22.477
binarytrees,csharpcore,5,21,767,21.410,858276,0,84% 84% 91% 89%,6.233,21.732
binarytrees,csharpcore,5,21,767,21.707,971448,0,92% 91% 85% 82%,6.252,21.881
binarytrees,fsharpcore,4,7,488,0.272,32940,0,62% 5% 3% 11%,2.916,2.365
binarytrees,fsharpcore,4,14,488,0.497,38620,0,27% 2% 6% 68%,0.497,0.510
binarytrees,fsharpcore,4,21,488,38.184,1162740,0,14% 51% 45% 10%,32.680,39.039
binarytrees,fsharpcore,4,21,488,36.968,1008964,0,16% 46% 46% 8%,32.042,37.298
binarytrees,fsharpcore,4,21,488,37.392,1084028,0,31% 37% 28% 22%,32.260,37.942
binarytrees,fsharpcore,4,21,488,36.831,1088904,0,29% 34% 37% 17%,31.934,37.342
binarytrees,fsharpcore,4,21,488,38.514,1219884,0,21% 38% 47% 13%,32.869,38.916
binarytrees,fsharpcore,4,21,488,36.833,1033200,0,17% 43% 41% 15%,32.361,37.353
binarytrees,ghc,2,7,491,0.010,8,0,3% 64% 76% 6%,0.330,0.491
binarytrees,ghc,2,14,491,0.239,0,0,38% 29% 92% 23%,0.137,0.250
binarytrees,ghc,2,21,491,61.562,453996,0,39% 81% 56% 38%,29.419,62.886
binarytrees,ghc,2,21,491,61.294,452208,0,94% 37% 37% 43%,29.276,61.724
binarytrees,ghc,2,21,491,60.543,451052,0,57% 37% 37% 80%,29.068,61.077
binarytrees,ghc,2,21,491,60.875,451968,0,87% 40% 39% 45%,29.196,61.343
binarytrees,ghc,2,21,491,60.455,455264,0,36% 78% 59% 36%,29.035,60.598
binarytrees,ghc,2,21,491,61.441,449956,0,37% 51% 86% 37%,29.359,61.794
binarytrees,csharpaot,5,7,767,0.158,27356,0,16% 30% 37% 35%,1.540,1.817
binarytrees,csharpaot,5,14,767,0.275,0,0,25% 47% 30% 70%,0.192,0.331
binarytrees,csharpaot,5,21,767,21.197,810884,0,87% 85% 85% 88%,6.193,21.397
binarytrees,csharpaot,5,21,767,21.927,974576,0,84% 93% 82% 85%,6.435,22.106
binarytrees,csharpaot,5,21,767,21.857,971644,0,87% 91% 88% 83%,6.300,22.041
binarytrees,csharpaot,5,21,767,21.495,956384,0,89% 88% 92% 86%,6.165,21.893
binarytrees,csharpaot,5,21,767,21.950,939220,0,92% 86% 83% 86%,6.376,22.140
binarytrees,csharpaot,5,21,767,21.110,768660,0,86% 86% 85% 88%,6.154,21.273
binarytrees,dartsnapshot,3,7,1206,0.233,26936,0,24% 61% 20% 29%,1.516,2.017
binarytrees,dartsnapshot,3,14,1206,0.677,800,0,52% 48% 58% 70%,0.309,0.704
binarytrees,dartsnapshot,3,21,1206,94.687,1555664,0,83% 80% 84% 78%,29.226,95.124
