name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s)
binarytrees,rust,2,7,721,0.003,0,0,63% 0% 25% 0%,0.084,0.074
binarytrees,rust,2,14,721,0.026,0,0,100% 0% 50% 50%,0.012,0.023
binarytrees,rust,2,21,721,4.206,200204,0,88% 87% 99% 87%,1.176,4.248
binarytrees,ghc,8,7,799,0.008,0,0,33% 0% 44% 0%,0.082,0.064
binarytrees,ghc,8,14,799,0.047,0,0,50% 33% 33% 33%,0.034,0.051
binarytrees,ghc,8,21,799,10.812,435080,0,52% 49% 78% 53%,4.697,10.885
binarytrees,icx,3,7,836,0.009,488,0,20% 25% 40% 5%,0.200,0.180
binarytrees,icx,3,14,836,0.084,0,0,75% 67% 100% 100%,0.030,0.102
binarytrees,icx,3,21,836,6.156,134244,0,75% 70% 81% 89%,1.971,6.227
binarytrees,ghc,6,7,592,0.008,0,0,0% 0% 40% 36%,0.099,0.076
binarytrees,ghc,6,14,592,0.050,0,0,50% 33% 0% 50%,0.034,0.046
binarytrees,ghc,6,21,592,11.527,448376,0,41% 59% 54% 52%,5.603,11.496
binarytrees,swift,5,7,806,0.026,12180,0,6% 0% 2% 94%,0.807,0.827
binarytrees,swift,5,14,806,0.258,17792,0,82% 80% 60% 50%,0.100,0.273
binarytrees,swift,5,21,806,50.898,733504,0,73% 95% 62% 69%,17.082,50.995
binarytrees,racket,1,7,476,0.254,57424,0,0% 1% 13% 96%,1.049,1.150
binarytrees,racket,1,14,476,0.182,63812,0,5% 0% 0% 100%,0.184,0.193
binarytrees,racket,1,21,476,15.300,439876,0,0% 0% 100% 1%,15.305,15.526
binarytrees,dartexe,3,7,1212,0.013,0,0,38% 29% 0% 71%,0.073,0.100
binarytrees,dartexe,3,14,1212,0.120,1680,0,67% 71% 60% 60%,0.050,0.130
binarytrees,dartexe,3,21,1212,45.618,924888,0,60% 58% 57% 58%,19.645,45.840
binarytrees,python3,5,7,660,0.121,10624,0,3% 62% 1% 4%,0.741,0.522
binarytrees,python3,5,14,660,0.832,13896,0,72% 71% 85% 75%,0.284,0.861
binarytrees,python3,5,21,660,160.861,273136,0,83% 90% 91% 97%,44.704,161.369
binarytrees,go,7,7,525,0.004,0,0,9% 80% 56% 18%,0.099,0.162
binarytrees,go,7,14,525,0.214,7076,0,41% 33% 29% 27%,0.171,0.223
binarytrees,go,7,21,525,50.641,252428,0,45% 48% 45% 46%,27.792,50.998
binarytrees,php,5,7,1040,0.035,12160,0,0% 6% 2% 89%,0.480,0.468
binarytrees,php,5,14,1040,0.453,20008,0,65% 70% 16% 70%,0.207,0.456
binarytrees,php,5,21,1040,86.020,793360,0,78% 57% 62% 62%,33.557,86.763
binarytrees,vw,1,7,711,0.678,53856,0,13% 81% 2% 1%,0.966,0.944
binarytrees,vw,1,14,711,0.658,57296,0,3% 3% 100% 1%,0.659,0.710
binarytrees,vw,1,21,711,38.068,374996,0,0% 100% 0% 1%,38.073,38.594
binarytrees,clang,5,7,908,0.002,0,0,0% 67% 0% 0%,0.057,0.038
binarytrees,clang,5,14,908,0.141,1312,0,83% 80% 80% 80%,0.054,0.173
binarytrees,clang,5,21,908,27.439,351380,0,98% 82% 88% 91%,7.686,27.561
binarytrees,php,2,7,423,0.028,12000,0,6% 0% 25% 12%,0.516,0.219
binarytrees,php,2,14,423,0.252,18992,0,96% 0% 4% 4%,0.254,0.264
binarytrees,php,2,21,423,62.289,748992,0,100% 0% 0% 1%,62.294,62.956
binarytrees,rust,4,7,756,0.003,320,0,0% 18% 33% 55%,0.115,0.122
binarytrees,rust,4,14,756,0.025,0,0,%,0.000,0.000
binarytrees,rust,4,21,756,4.595,163268,0,88% 89% 99% 90%,1.269,4.646
binarytrees,ocaml,2,7,751,0.005,0,0,57% 29% 0% 0%,0.066,0.056
binarytrees,ocaml,2,14,751,0.039,0,0,100% 50% 100% 0%,0.016,0.040
binarytrees,ocaml,2,21,751,11.416,135328,0,52% 40% 83% 99%,4.223,11.522
binarytrees,mri,1,7,376,0.012,384,0,11% 7% 0% 85%,0.260,0.268
binarytrees,mri,1,14,376,2.020,19116,0,0% 100% 0% 0%,2.022,2.042
binarytrees,mri,1,21,376,746.004,1559732,0,0% 100% 0% 0%,746.547,755.003
binarytrees,julia,2,7,423,27.263,278316,0,63% 44% 45% 52%,15.010,30.692
binarytrees,julia,2,14,423,26.834,296452,0,81% 80% 66% 63%,9.415,27.321
binarytrees,julia,2,21,423,36.777,427824,0,33% 39% 33% 92%,18.947,37.263
binarytrees,ifc,1,7,773,0.004,0,0,0% 0% 60% 36%,0.098,0.095
binarytrees,ifc,1,14,773,0.172,5828,0,0% 12% 11% 100%,0.173,0.213
binarytrees,ifc,1,21,773,33.150,525908,0,0% 1% 100% 0%,33.153,33.704
binarytrees,gpp,8,7,820,0.019,312,0,8% 0% 42% 46%,0.124,0.119
binarytrees,gpp,8,14,820,0.026,0,0,100% 100% 50% 100%,0.011,0.038
binarytrees,gpp,8,21,820,5.018,265740,0,88% 44% 48% 64%,2.097,5.130
binarytrees,pharo,1,7,669,0.538,89144,0,46% 4% 14% 9%,1.971,1.414
binarytrees,pharo,1,14,669,0.458,91716,0,2% 13% 98% 11%,0.453,0.563
binarytrees,pharo,1,21,669,33.099,333208,0,1% 1% 1% 100%,32.919,33.663
binarytrees,dartjit,3,7,1212,0.826,130580,0,19% 14% 12% 55%,2.441,2.472
binarytrees,dartjit,3,14,1212,0.644,170008,0,34% 30% 45% 47%,0.427,0.667
binarytrees,dartjit,3,21,1212,60.994,1663108,0,57% 61% 51% 51%,27.767,61.167
binarytrees,node,6,7,744,0.280,46404,0,25% 16% 7% 11%,1.475,0.866
binarytrees,node,6,14,744,0.629,91528,0,45% 40% 66% 43%,0.340,0.662
binarytrees,node,6,21,744,20.867,1231192,0,83% 67% 69% 74%,7.126,20.857
binarytrees,php,4,7,779,0.032,12060,0,2% 6% 13% 91%,0.524,0.585
binarytrees,php,4,14,779,0.230,93468,0,45% 91% 55% 36%,0.107,0.244
binarytrees,php,4,21,779,63.741,1559592,0,57% 97% 75% 73%,21.186,63.949
binarytrees,dartjit,7,7,863,0.848,133528,0,32% 12% 8% 33%,2.258,1.928
binarytrees,dartjit,7,14,863,0.645,167904,0,44% 31% 32% 61%,0.433,0.730
binarytrees,dartjit,7,21,863,33.747,598200,0,55% 65% 59% 63%,14.009,33.766
binarytrees,gcc,5,7,908,0.002,0,0,13% 67% 14% 0%,0.066,0.062
binarytrees,gcc,5,14,908,0.146,1468,0,60% 100% 83% 67%,0.054,0.167
binarytrees,gcc,5,21,908,31.118,351376,0,98% 94% 93% 85%,8.457,31.326
binarytrees,fsharpcore,7,7,516,0.261,35572,0,1% 26% 27% 11%,1.436,0.929
binarytrees,fsharpcore,7,14,516,0.273,44932,0,23% 26% 33% 63%,0.251,0.364
binarytrees,fsharpcore,7,21,516,16.261,1398820,0,64% 71% 64% 67%,6.136,16.298
binarytrees,csharpcore,1,7,657,0.102,27896,0,35% 13% 2% 45%,0.518,0.496
binarytrees,csharpcore,1,14,657,0.172,24280,0,54% 58% 38% 46%,0.118,0.232
binarytrees,csharpcore,1,21,657,16.048,2006320,0,77% 88% 79% 84%,4.983,16.340
binarytrees,sbcl,3,7,932,0.028,16956,0,4% 0% 25% 11%,0.580,0.226
binarytrees,sbcl,3,14,932,0.057,0,0,100% 67% 50% 33%,0.028,0.071
binarytrees,sbcl,3,21,932,9.794,332752,0,47% 44% 44% 61%,5.441,10.643
binarytrees,go,6,7,611,0.004,0,0,0% 73% 55% 0%,0.108,0.137
binarytrees,go,6,14,611,0.151,3304,0,100% 7% 0% 0%,0.152,0.162
binarytrees,go,6,21,611,29.075,410344,0,97% 2% 3% 2%,28.143,29.455
binarytrees,lua,4,7,664,0.023,1452,0,36% 30% 69% 18%,0.331,0.507
binarytrees,lua,4,14,664,0.802,9856,0,88% 78% 77% 92%,0.249,0.833
binarytrees,lua,4,21,664,184.090,927460,0,97% 91% 93% 91%,49.686,184.529
binarytrees,php,3,7,428,0.027,12196,0,4% 28% 0% 17%,0.508,0.250
binarytrees,php,3,14,428,0.183,25332,0,11% 100% 0% 5%,0.185,0.215
binarytrees,php,3,21,428,51.494,1562576,0,100% 1% 0% 1%,51.500,52.191
binarytrees,ruby,3,7,400,0.268,285452,0,68% 7% 5% 6%,0.865,0.740
