name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s)
binarytrees,swift,1,21,714,134.508,733596,0,84% 75% 69% 74%,45.372,136.758
binarytrees,gfortran,2,21,1148,13.672,112276,0,71% 73% 89% 56%,4.868,14.040
binarytrees,mri,1,21,376,1834.155,1558448,0,77% 1% 1% 24%,1836.229,1858.107
binarytrees,jruby,4,21,364,125.468,1775268,0,28% 16% 46% 36%,101.090,127.239
binarytrees,mri,4,21,364,1728.771,1558556,0,100% 0% 1% 0%,1730.741,1747.694
binarytrees,dartexe,3,21,1206,99.764,1228268,0,95% 85% 90% 81%,29.497,103.307
binarytrees,yarv,5,21,1096,123.810,531624,0,79% 60% 73% 72%,44.672,126.737
binarytrees,php,1,21,451,188.624,743716,0,27% 25% 2% 53%,188.809,201.021
binarytrees,hipe,2,21,478,24.534,468264,0,76% 83% 71% 72%,8.325,25.165
binarytrees,racketcs,3,21,473,13.284,348572,0,2% 5% 72% 29%,13.309,14.512
binarytrees,mri,2,21,378,1828.174,1558496,0,11% 1% 1% 88%,1830.376,1848.209
binarytrees,gpp,3,21,945,16.563,221800,0,77% 41% 90% 83%,5.770,16.758
binarytrees,go,4,21,654,104.059,365464,0,95% 95% 98% 95%,27.538,105.716
binarytrees,python3,2,21,338,246.006,274800,0,84% 1% 1% 17%,246.160,253.918
binarytrees,rust,3,21,754,13.272,148860,0,89% 90% 90% 100%,3.629,13.357
binarytrees,vw,3,21,930,82.668,375964,0,73% 64% 58% 61%,32.550,83.174
binarytrees,yarv,2,21,378,149.548,577800,0,8% 10% 90% 3%,148.541,166.430
binarytrees,openj9,3,21,540,17.974,537860,0,21% 23% 51% 54%,12.180,18.188
binarytrees,swift,4,21,765,135.651,702576,0,68% 100% 73% 74%,43.726,137.882
binarytrees,python3,3,21,1238,330.809,677732,0,67% 86% 63% 74%,115.756,334.772
binarytrees,gnat,4,21,2107,33.687,202292,0,84% 94% 82% 85%,9.824,33.887
binarytrees,dartsnapshot,1,21,457,33.739,512664,0,26% 70% 21% 23%,25.967,36.375
