name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s),busy(s)
binarytrees,swift,1,7,714,0.033,9456,0,1% 13% 1% 37%,1.355,0.719
binarytrees,swift,1,14,714,0.642,852,0,55% 87% 54% 87%,0.237,0.670
binarytrees,swift,1,21,714,134.508,733596,0,84% 75% 69% 74%,45.372,136.758
binarytrees,gfortran,2,7,1148,0.012,8,0,21% 7% 0% 51%,0.436,0.344
binarytrees,gfortran,2,14,1148,0.089,0,0,75% 50% 75% 50%,0.039,0.097
binarytrees,gfortran,2,21,1148,13.672,112276,0,71% 73% 89% 56%,4.868,14.040
binarytrees,mri,1,7,376,0.021,8,0,47% 7% 17% 30%,0.580,0.583
binarytrees,mri,1,14,376,3.860,19108,0,1% 2% 4% 100%,3.865,4.146
binarytrees,mri,1,21,376,1834.155,1558448,0,77% 1% 1% 24%,1836.229,1858.107
binarytrees,jruby,4,7,364,11.659,175424,0,41% 28% 35% 40%,11.650,16.860
binarytrees,jruby,4,14,364,13.205,209084,0,88% 51% 62% 75%,4.803,13.293
binarytrees,jruby,4,21,364,125.468,1775268,0,28% 16% 46% 36%,101.090,127.239
binarytrees,mri,4,7,364,0.018,8,0,69% 2% 0% 23%,0.443,0.417
binarytrees,mri,4,14,364,3.357,19060,0,0% 5% 5% 100%,3.362,3.701
binarytrees,mri,4,21,364,1728.771,1558556,0,100% 0% 1% 0%,1730.741,1747.694
binarytrees,dartexe,3,7,1206,0.025,8,0,29% 79% 78% 16%,0.720,1.460
binarytrees,dartexe,3,14,1206,0.377,0,0,83% 86% 62% 64%,0.136,0.400
binarytrees,dartexe,3,21,1206,99.764,1228268,0,95% 85% 90% 81%,29.497,103.307
binarytrees,yarv,5,7,1096,1.675,22268,0,25% 69% 60% 11%,5.061,8.397
binarytrees,yarv,5,14,1096,4.848,29188,0,23% 57% 69% 92%,3.017,7.259
binarytrees,yarv,5,21,1096,123.810,531624,0,79% 60% 73% 72%,44.672,126.737
binarytrees,php,1,7,451,0.018,1948,0,64% 0% 2% 63%,1.149,1.477
binarytrees,php,1,14,451,0.771,13772,0,9% 99% 0% 5%,0.774,0.874
binarytrees,php,1,21,451,188.624,743716,0,27% 25% 2% 53%,188.809,201.021
binarytrees,hipe,2,7,478,0.266,20708,0,15% 55% 63% 11%,1.649,2.378
binarytrees,hipe,2,14,478,0.354,0,0,35% 79% 80% 47%,0.198,0.479
binarytrees,hipe,2,21,478,24.534,468264,0,76% 83% 71% 72%,8.325,25.165
binarytrees,racketcs,3,7,473,0.402,60940,0,11% 2% 41% 56%,3.250,3.587
binarytrees,racketcs,3,14,473,0.401,544,0,98% 2% 12% 12%,0.405,0.499
binarytrees,racketcs,3,21,473,13.284,348572,0,2% 5% 72% 29%,13.309,14.512
binarytrees,mri,2,7,378,0.019,8,0,0% 78% 19% 6%,0.475,0.489
binarytrees,mri,2,14,378,3.875,19208,0,0% 100% 5% 0%,3.879,4.059
binarytrees,mri,2,21,378,1828.174,1558496,0,11% 1% 1% 88%,1830.376,1848.209
binarytrees,gpp,3,7,945,0.007,8,0,42% 25% 34% 34%,0.585,0.800
binarytrees,gpp,3,14,945,0.074,0,0,67% 50% 50% 67%,0.033,0.077
binarytrees,gpp,3,21,945,16.563,221800,0,77% 41% 90% 83%,5.770,16.758
binarytrees,go,4,7,654,0.008,0,0,54% 0% 3% 76%,0.376,0.496
binarytrees,go,4,14,654,0.417,0,0,79% 81% 79% 80%,0.138,0.440
binarytrees,go,4,21,654,104.059,365464,0,95% 95% 98% 95%,27.538,105.716
binarytrees,python3,2,7,338,0.036,3748,0,14% 1% 23% 77%,0.964,1.103
binarytrees,python3,2,14,338,1.157,9256,0,100% 10% 14% 5%,1.160,1.489
binarytrees,python3,2,21,338,246.006,274800,0,84% 1% 1% 17%,246.160,253.918
binarytrees,rust,3,7,754,0.007,8,0,28% 3% 73% 36%,0.637,0.895
binarytrees,rust,3,14,754,0.068,0,0,50% 100% 100% 50%,0.025,0.074
binarytrees,rust,3,21,754,13.272,148860,0,89% 90% 90% 100%,3.629,13.357
binarytrees,vw,3,7,930,0.859,49500,0,22% 1% 1% 76%,1.565,1.567
binarytrees,vw,3,14,930,0.927,52072,0,2% 1% 2% 100%,0.922,0.972
binarytrees,vw,3,21,930,82.668,375964,0,73% 64% 58% 61%,32.550,83.174
binarytrees,yarv,2,7,378,0.601,22388,0,62% 9% 15% 52%,4.825,6.676
binarytrees,yarv,2,14,378,3.073,27616,0,47% 77% 33% 66%,2.401,5.348
binarytrees,yarv,2,21,378,149.548,577800,0,8% 10% 90% 3%,148.541,166.430
binarytrees,openj9,3,7,540,0.321,44212,0,24% 22% 34% 22%,2.867,2.919
binarytrees,openj9,3,14,540,0.453,460,0,69% 44% 15% 39%,0.338,0.564
binarytrees,openj9,3,21,540,17.974,537860,0,21% 23% 51% 54%,12.180,18.188
binarytrees,swift,4,7,765,0.036,7516,0,22% 4% 2% 31%,1.401,0.823
binarytrees,swift,4,14,765,0.650,944,0,59% 95% 95% 65%,0.227,0.715
binarytrees,swift,4,21,765,135.651,702576,0,68% 100% 73% 74%,43.726,137.882
binarytrees,python3,3,7,1238,0.145,10992,0,23% 2% 2% 59%,1.473,1.271
binarytrees,python3,3,14,1238,1.736,68352,0,78% 40% 80% 56%,0.711,1.812
binarytrees,python3,3,21,1238,330.809,677732,0,67% 86% 63% 74%,115.756,334.772
binarytrees,gnat,4,7,2107,0.012,8,0,35% 4% 0% 51%,0.565,0.502
binarytrees,gnat,4,14,2107,0.187,0,0,50% 56% 44% 89%,0.086,0.205
binarytrees,gnat,4,21,2107,33.687,202292,0,84% 94% 82% 85%,9.824,33.887
binarytrees,dartsnapshot,1,7,457,0.173,24108,0,16% 13% 17% 40%,1.575,1.347
binarytrees,dartsnapshot,1,14,457,0.388,672,0,28% 79% 52% 40%,0.299,0.592
binarytrees,dartsnapshot,1,21,457,33.739,512664,0,26% 70% 21% 23%,25.967,36.375
binarytrees,lua,3,7,684,0.028,32,0,86% 9% 65% 27%,0.643,1.201
binarytrees,lua,3,14,684,1.294,9492,0,49% 57% 35% 71%,0.655,1.387
binarytrees,lua,3,21,684,325.865,888312,0,46% 60% 42% 59%,162.420,336.792
binarytrees,typescript,6,7,842,0.270,25300,0,6% 92% 23% 1%,2.495,3.042
binarytrees,typescript,6,14,842,0.897,36356,0,50% 80% 50% 45%,0.484,1.089
binarytrees,typescript,6,21,842,72.891,1079528,0,74% 72% 76% 75%,24.748,73.452
binarytrees,typescript,1,7,797,0.363,25984,0,3% 53% 22% 22%,2.318,2.304
binarytrees,typescript,1,14,797,0.915,38252,0,46% 81% 43% 45%,0.492,1.058
binarytrees,typescript,1,21,797,60.026,1011148,0,78% 82% 78% 83%,18.875,60.446
binarytrees,clang,2,7,809,0.011,8,0,2% 10% 62% 75%,0.844,1.256
binarytrees,clang,2,14,809,0.119,0,0,100% 75% 75% 80%,0.038,0.126
binarytrees,clang,2,21,809,15.325,169484,0,70% 71% 70% 100%,5.037,15.669
binarytrees,openj9,2,7,552,0.300,45728,0,28% 30% 34% 31%,3.275,4.065
binarytrees,openj9,2,14,552,0.457,472,0,50% 42% 56% 12%,0.340,0.545
binarytrees,openj9,2,21,552,33.707,423688,0,59% 59% 56% 17%,17.813,33.999
binarytrees,csharpcore,6,7,753,0.147,28512,0,2% 2% 86% 34%,1.759,2.187
binarytrees,csharpcore,6,14,753,0.270,0,0,29% 20% 50% 63%,0.167,0.270
binarytrees,csharpcore,6,21,753,20.012,844952,0,93% 87% 89% 86%,5.765,20.474
binarytrees,flang,2,7,1148,0.000,0,-11,%,0.000,0.000
binarytrees,flang,2,14,1148,0.000,0,-11,%,0.000,0.000
binarytrees,flang,2,21,1148,0.000,0,-11,%,0.000,0.000
binarytrees,jruby,3,7,400,12.395,176760,0,57% 23% 28% 41%,12.558,18.781
binarytrees,jruby,3,14,400,12.761,190408,0,61% 60% 66% 82%,4.804,12.926
binarytrees,jruby,3,21,400,116.501,1822064,0,28% 38% 44% 10%,99.794,119.360
binarytrees,icc,2,7,809,0.011,8,0,83% 2% 2% 27%,0.590,0.666
binarytrees,icc,2,14,809,0.088,0,0,50% 50% 67% 100%,0.031,0.083
binarytrees,icc,2,21,809,11.422,170684,0,73% 89% 81% 100%,3.343,11.459
binarytrees,fpascal,7,7,1003,0.008,0,0,70% 0% 4% 58%,0.234,0.309
binarytrees,fpascal,7,14,1003,0.066,0,0,60% 100% 67% 33%,0.029,0.075
binarytrees,fpascal,7,21,1003,9.743,116604,0,45% 97% 48% 65%,3.886,9.859
binarytrees,icc,5,7,908,0.006,8,0,95% 5% 0% 57%,0.390,0.611
binarytrees,icc,5,14,908,0.269,0,0,100% 90% 78% 89%,0.088,0.315
binarytrees,icc,5,21,908,59.725,351872,0,90% 81% 89% 98%,16.742,59.885
binarytrees,icc,1,7,654,0.004,0,0,62% 0% 0% 45%,0.292,0.312
binarytrees,icc,1,14,654,0.144,0,0,6% 7% 0% 100%,0.146,0.164
binarytrees,icc,1,21,654,31.626,263800,0,1% 100% 1% 1%,31.657,32.417
binarytrees,ghc,2,7,491,0.012,8,0,66% 6% 4% 85%,0.472,0.763
binarytrees,ghc,2,14,491,0.323,0,0,41% 50% 25% 89%,0.177,0.364
binarytrees,ghc,2,21,491,55.943,454344,0,50% 75% 39% 49%,27.450,58.488
binarytrees,clang,3,7,836,0.015,8,0,45% 84% 12% 3%,0.657,0.947
binarytrees,clang,3,14,836,0.114,0,0,75% 100% 67% 75%,0.040,0.125
binarytrees,clang,3,21,836,13.957,117408,0,63% 63% 92% 78%,4.807,14.248
binarytrees,dartsnapshot,3,7,1206,0.259,25612,0,54% 8% 11% 49%,1.851,2.259
binarytrees,dartsnapshot,3,14,1206,0.792,4212,0,58% 54% 76% 81%,0.347,0.932
binarytrees,dartsnapshot,3,21,1206,106.674,1191948,0,91% 85% 91% 88%,31.035,109.839
binarytrees,csharpcore,3,7,676,0.165,31644,0,3% 1% 36% 54%,1.531,1.431
binarytrees,csharpcore,3,14,676,0.399,684,0,33% 39% 38% 90%,0.218,0.438
binarytrees,csharpcore,3,21,676,46.618,1704372,0,83% 82% 90% 86%,14.023,48.008
binarytrees,csharpaot,3,7,676,0.158,20964,0,67% 40% 37% 6%,1.646,2.473
binarytrees,csharpaot,3,14,676,0.400,676,0,39% 91% 32% 32%,0.226,0.437
binarytrees,csharpaot,3,21,676,50.052,1733936,0,85% 85% 90% 85%,15.687,54.087
binarytrees,go,3,7,799,0.007,8,0,94% 27% 7% 63%,0.515,0.985
binarytrees,go,3,14,799,0.409,0,0,83% 83% 82% 92%,0.118,0.403
binarytrees,go,3,21,799,102.621,364348,0,98% 97% 98% 97%,26.712,104.290
binarytrees,clang,5,7,908,0.005,0,0,58% 4% 0% 40%,0.252,0.256
binarytrees,clang,5,14,908,0.289,0,0,80% 70% 80% 63%,0.095,0.277
binarytrees,clang,5,21,908,62.658,351364,0,92% 92% 96% 79%,17.528,62.858
binarytrees,mri,5,7,1096,0.025,8,0,35% 0% 2% 55%,0.659,0.607
binarytrees,mri,5,14,1096,3.631,83892,0,95% 51% 88% 52%,1.305,3.725
binarytrees,mri,5,21,1096,0.000,0,-2,40% 48% 53% 62%,1223.817,2480.920
binarytrees,fpascal,5,7,953,0.008,0,0,23% 0% 0% 77%,0.225,0.225
binarytrees,fpascal,5,14,953,0.069,0,0,29% 8% 14% 8%,0.135,0.079
binarytrees,fpascal,5,21,953,9.887,132800,0,100% 73% 82% 68%,3.077,9.936
binarytrees,rust,1,7,751,0.005,8,0,4% 33% 56% 35%,0.481,0.618
binarytrees,rust,1,14,751,0.129,0,0,75% 67% 75% 100%,0.045,0.143
binarytrees,rust,1,21,751,22.291,133044,0,86% 89% 95% 88%,6.250,22.389
binarytrees,go,9,7,1007,0.007,0,0,0% 93% 32% 0%,0.290,0.363
binarytrees,go,9,14,1007,0.309,0,0,70% 73% 83% 73%,0.103,0.308
binarytrees,go,9,21,1007,84.393,397116,0,88% 86% 84% 83%,25.190,86.005
binarytrees,hipe,1,7,420,0.305,21052,0,46% 36% 37% 35%,1.642,2.533
binarytrees,hipe,1,14,420,0.350,1220,0,31% 40% 56% 37%,0.255,0.417
binarytrees,hipe,1,21,420,24.672,607764,0,81% 3% 5% 20%,24.466,26.535
binarytrees,php,7,7,751,0.027,2732,0,27% 0% 10% 51%,1.168,1.039
binarytrees,php,7,14,751,0.647,15560,0,76% 76% 56% 63%,0.246,0.666
binarytrees,php,7,21,751,184.545,1584360,0,90% 92% 95% 90%,51.134,187.682
binarytrees,swift,2,7,816,0.036,9456,0,29% 7% 5% 42%,1.642,1.374
binarytrees,swift,2,14,816,0.569,0,0,89% 63% 53% 95%,0.195,0.584
binarytrees,swift,2,21,816,120.210,702592,0,76% 70% 79% 95%,38.210,122.344
binarytrees,openj9,4,7,840,0.335,39624,0,20% 38% 32% 14%,2.928,3.046
binarytrees,openj9,4,14,840,0.448,736,0,50% 12% 41% 61%,0.352,0.577
binarytrees,openj9,4,21,840,15.515,415236,0,59% 19% 18% 57%,10.245,15.702
binarytrees,perl,4,7,761,0.057,4656,0,13% 2% 2% 36%,0.956,0.503
binarytrees,perl,4,14,761,2.282,25460,0,76% 80% 79% 94%,0.707,2.327
binarytrees,perl,4,21,761,451.525,2519152,0,96% 84% 88% 84%,129.886,457.575
binarytrees,julia,2,7,423,2.006,215776,0,35% 36% 54% 28%,15.417,23.534
binarytrees,julia,2,14,423,11.393,216796,0,75% 88% 67% 66%,3.937,11.621
binarytrees,julia,2,21,423,47.087,702348,0,9% 79% 27% 8%,39.768,48.546
binarytrees,yarv,3,7,400,0.601,22320,0,41% 18% 13% 64%,4.816,6.549
binarytrees,yarv,3,14,400,2.812,28416,0,53% 67% 62% 27%,2.144,4.455
binarytrees,yarv,3,21,400,151.820,449152,0,31% 2% 6% 68%,151.057,161.800
binarytrees,racketcs,4,7,853,6.070,278420,0,49% 22% 25% 37%,6.645,8.896
binarytrees,racketcs,4,14,853,6.128,278864,0,36% 43% 48% 65%,3.496,6.721
binarytrees,racketcs,4,21,853,30.798,565276,0,37% 33% 48% 53%,18.702,31.940
binarytrees,csharpaot,6,7,753,0.144,27536,0,44% 63% 1% 3%,1.174,1.308
binarytrees,csharpaot,6,14,753,0.278,0,0,33% 80% 30% 41%,0.184,0.340
binarytrees,csharpaot,6,21,753,19.602,869108,0,89% 88% 88% 91%,5.646,20.095
binarytrees,lua,2,7,412,0.010,0,0,16% 22% 0% 44%,0.400,0.331
binarytrees,lua,2,14,412,1.132,8964,0,2% 10% 1% 100%,1.136,1.277
binarytrees,lua,2,21,412,268.330,975924,0,4% 80% 19% 3%,268.689,284.325
binarytrees,pharo,1,7,669,0.891,104536,0,15% 58% 28% 7%,5.134,5.555
binarytrees,pharo,1,14,669,1.057,106008,0,3% 0% 2% 99%,1.052,1.092
binarytrees,pharo,1,21,669,69.530,340932,0,0% 74% 27% 0%,69.405,70.384
binarytrees,dart,3,7,1206,0.954,122544,0,40% 13% 15% 29%,2.984,2.870
binarytrees,dart,3,14,1206,1.506,146156,0,42% 43% 59% 33%,0.900,1.598
binarytrees,dart,3,21,1206,107.667,1237124,0,92% 86% 90% 81%,31.616,110.070
binarytrees,gfortran,1,7,773,0.007,8,0,50% 21% 27% 19%,0.464,0.542
binarytrees,gfortran,1,14,773,0.153,0,0,0% 100% 0% 0%,0.154,0.154
binarytrees,gfortran,1,21,773,30.660,264472,0,100% 0% 4% 1%,30.692,32.468
binarytrees,gpp,6,7,844,0.022,8,0,68% 9% 32% 9%,0.329,0.389
binarytrees,gpp,6,14,844,0.082,0,0,33% 80% 75% 50%,0.036,0.087
binarytrees,gpp,6,21,844,16.568,221724,0,90% 79% 81% 41%,5.783,16.834
binarytrees,sbcl,1,7,589,0.029,8,0,31% 38% 39% 39%,0.800,1.185
binarytrees,sbcl,1,14,589,0.146,0,0,7% 56% 100% 100%,0.148,0.390
binarytrees,sbcl,1,21,589,28.484,374744,0,1% 0% 7% 93%,28.535,28.776
binarytrees,perl,1,7,395,0.016,3220,0,74% 10% 21% 36%,1.122,1.580
binarytrees,perl,1,14,395,2.110,9788,0,61% 1% 0% 39%,2.113,2.143
binarytrees,perl,1,21,395,427.588,599544,0,1% 46% 54% 1%,427.825,434.558
binarytrees,ifc,2,7,1148,0.012,8,0,90% 2% 6% 14%,0.707,0.786
